BES WHS	GEODIS_AIRHAZ_STD_D2D	EA
LogSpec	BE_DROPSHIP	
LogSpec	DHL_AIR_NDS_LICENSE	|GB|CH|NO| - excluding Northern Ireland + rest of world drop shipments 
LogSpec	DHL_AIR_WPX	|IS|GP|YT|MQ|GF|RE|NC|XY||RS|IS|LI|AD|JE|SM|ES Melilla|UA|
LogSpec	DHL_AIRHAZ_NDS_LICENSE	|GB|CH|NO| - excluding Northern Ireland + rest of world drop shipments 
LogSpec	DHL_AIRHAZ_WPX	|IS|GP|YT|MQ|GF|RE|NC|XY||RS|IS|LI|AD|JE|SM|ES Melilla|UA|
LogSpec	DHL_GRDHAZ_ESI_LICENSE	|GB|CH|NO| - excluding Northern Ireland
LogSpec	DHL_GROUND_ESI_LICENSE	|GB|CH|NO| - excluding Northern Ireland
LogSpec	DHLFRT_GND_LICENSE	GB|CH|NO
LogSpec	DHLFRT_GND_LICENSE	UA|BA|MK|RS
LogSpec	DHLFRT_GND_LICENSE_FTL	GB|CH|NO
LogSpec	DHLFRT_GND_PREPACK_FTL	Within EU
LogSpec	DHLFRT_GND_SPECIAL	GB|CH|NO
LogSpec	DHLFRT_GND_SPECIAL	Within EU
LogSpec	DHLFRT_GNDHAZ_FTL	GB|CH|NO
LogSpec	DHLFRT_GNDHAZ_FTL	Within EU
LogSpec	DHLFRT_GNDHAZ_LICENSE	GB|CH|NO
LogSpec	DHLFRT_GNDHAZ_LICENSE	UA|BA|MK|RS
LogSpec	DHLFRT_GNDHAZ_PREPACK_FTL	Within EU
LogSpec	DHLFRT_GNDHAZ_SPECIAL	Within EU
LogSpec	DHLFRT_GNDHAZ_SPECIAL	GB|CH|NO
LogSpec	DHLFRT_GNDHAZ_STD	UA|BA|MK|RS
LogSpec	DHLFRT_GROUND_STD	UA|BA|MK|RS
Logspec	DSV_AIR_STD_D2D	IC
Logspec	DSV_AIR_UD_STD_D2D	IC
Logspec	DSV_AIRHAZ_STD_D2D	IC
Logspec	DSV_AIRHAZ_UD_STD_D2D	IC
LogSpec	EXPEDITORS_GNDHAZ_LICENSE	GB|
LogSpec	EXPEDITORS_GNDHAZ_SPECIAL	GB|IE| + shipto 71580765|23442203|23697064|5001879|
LogSpec	EXPEDITORS_GNDHAZ_WHITEGLOVE	AT|BE|DK|EE|LV|LT|FI|FR|DE|IE|IT|NL|NO|PL|PT|ES|SE|CH
LogSpec	EXPEDITORS_GRD_LICENSE	AT|BE|DK|EE|LV|LT|FI|FR|DE|IE|IT|NL|NO|PL|PT|ES|SE|CH|GB
LogSpec	EXPEDITORS_GROUND_LICENSE	AT|BE|DK|EE|LV|LT|FI|FR|DE|IE|IT|NL|NO|PL|PT|ES|SE|CH|GB
LogSpec	EXPEDITORS_GROUND_SPECIAL	AT|BE|DK|EE|LV|LT|FI|FR|DE|IE|IT|NL|NO|PL|PT|ES|SE|CH|GB
LogSpec	EXPEDITORS_GROUND_WHITEGLOVE 	AT|BE|DK|EE|LV|LT|FI|FR|DE|IE|IT|NL|NO|PL|PT|ES|SE|CH|GB
Logspec	FCA_AIR_STANDARD	Outside of EU
LogSpec	FCA_AIRHAZ_LICENSE	
LogSpec	GEODIS_AIR_DEF_D2A	IL (ship to number
LogSpec	GEODIS_AIR_DEF_D2D	KR
LogSpec	GEODIS_AIR_LICENSE_STD_D2A	CN
LogSpec	GEODIS_AIR_LICENSE_STD_D2A	
LogSpec	GEODIS_AIR_LICENSE_STD_D2A	|AE|BH|DZ|EG|ET|GH|IL|IS|IR|IQ|JO|KE|KW|LB|MA|MN|MU|NG|OM|QA|RE|RU|SA|SN|TN|TR|TZ|UG|UZ|
Logspec	GEODIS_AIR_LICENSE_STD_D2D	SG
LogSpec	GEODIS_AIR_STD_D2A	
LogSpec	GEODIS_AIR_STD_D2A	TW
LogSpec	GEODIS_AIR_UD_STD_D2A	AE|BH|DZ|EG|ET|GH|IL|IS|IR|IQ|JO|KE|KW|LB|MA|MN|MU|NG|OM|QA|RE|RU|SA|SN|TN|TR|TZ|UG|UZ|
LogSpec	GEODIS_AIRHAZ_DEF_D2A	IL (ship to number
LogSpec	GEODIS_AIRHAZ_LICENSE_STD_D2A	CN
LogSpec	GEODIS_AIRHAZ_LICENSE_STD_D2A	DZ|EG|IR|IQ|IL|JO|KW|LB|MA|OM|SA|TN|TR|AE|MN|ET|GH|KE|MU|NG|RE|TZ|UG|RU|RS|UA|IS|CN|KR|
